url,comments,duration,languages,views,Beautiful,Confusing,Courageous,Fascinating,Funny,Informative,Ingenious,Inspiring,Jaw.dropping,Longwinded,Obnoxious,OK,Persuasive,Unconvincing,label
"https://www.ted.com/talks/9_11_healing_the_mothers_who_found_forgiveness_friendship
",149,594,32,820976,229,8,338,26,2,24,10,385,37,7,13,20,30,25,10
"https://www.ted.com/talks/a_j_jacobs_year_of_living_biblically
",583,1060,39,2291701,50,52,345,531,936,376,250,422,45,105,116,219,130,150,10
"https://www.ted.com/talks/a_robot_that_flies_like_a_bird
",440,379,45,6264902,630,16,59,1197,110,260,1333,721,1487,24,13,119,73,20,1
"https://www.ted.com/talks/aaron_huey
",850,927,36,1347633,174,12,1246,129,1,899,48,618,942,30,52,56,689,71,10
"https://www.ted.com/talks/aaron_koblin
",79,1098,27,1474192,448,35,23,618,62,195,487,570,239,42,19,78,35,36,1
"https://www.ted.com/talks/abe_davis_new_video_technology_that_reveals_an_object_s_hidden_properties
",104,1077,26,1386424,39,4,6,532,17,210,389,435,378,14,6,28,16,1,1
"https://www.ted.com/talks/abha_dawesar_life_in_the_digital_now
",194,721,26,1245695,111,52,36,139,2,83,27,295,19,63,17,90,178,83,11
"https://www.ted.com/talks/abigail_washburn_building_us_china_relations_by_banjo
",124,394,28,981351,351,4,92,85,27,16,32,406,65,16,7,46,67,6,10
"https://www.ted.com/talks/abraham_verghese_a_doctor_s_touch
",231,1112,33,1390908,658,6,263,308,8,250,57,1321,138,18,3,39,430,29,10
"https://www.ted.com/talks/adam_alter_why_our_screens_make_us_less_happy
",29,569,19,1858990,59,0,50,154,39,351,24,421,19,0,1,1,293,0,1
"https://www.ted.com/talks/adam_de_la_zerda_how_we_can_start_winning_the_war_against_cancer
",56,762,23,985203,24,4,24,111,7,251,73,110,33,5,0,17,35,4,1
"https://www.ted.com/talks/adam_garone_healthier_men_one_moustache_at_a_time
",77,1001,31,714578,20,0,73,54,172,81,57,307,15,5,4,10,74,2,10
"https://www.ted.com/talks/adam_grosser_and_his_sustainable_fridge
",131,211,51,857181,13,15,17,211,10,224,682,163,118,0,3,51,62,21,1
"https://www.ted.com/talks/adam_ostrow_after_your_final_status_update
",189,329,42,1134961,12,17,31,348,26,314,80,102,52,25,44,227,90,160,11
"https://www.ted.com/talks/adam_savage_s_obsessions
",104,938,37,1697809,97,19,28,457,601,85,181,380,110,50,24,68,33,19,1
"https://www.ted.com/talks/aditi_shankardass_a_second_opinion_on_learning_disorders
",287,541,43,957087,65,10,69,366,2,551,224,445,456,12,10,46,309,48,1
"https://www.ted.com/talks/aimee_mullins_on_running
",67,1345,30,1013266,131,3,249,101,95,61,18,365,84,14,12,23,19,2,1
"https://www.ted.com/talks/aimee_mullins_prosthetic_aesthetics
",223,598,42,3472415,927,13,673,560,135,182,199,1497,349,35,40,102,164,39,1
"https://www.ted.com/talks/aj_jacobs_how_healthy_living_nearly_killed_me
",166,522,40,1468930,15,57,42,93,549,231,80,148,25,120,106,303,58,300,10
"https://www.ted.com/talks/ajit_narayanan_a_word_game_to_communicate_in_any_language
",222,943,27,1256969,113,28,36,463,24,438,405,514,64,17,7,49,52,31,1
